1, 3604800, 1253320
1, 280280, 243460
1, 274620, 1361580
1, 271560, 235900
1, 266350, 229690
1, 267820, 231930
1, 472690, 241070
1, 270920, 235930
1, 268410, 232340
1, 2100120, 257890
1, 271850, 235990
1, 264130, 231820
1, 1394590, 244720
1, 263620, 235110
1, 261950, 232630
1, 271510, 242240
1, 264030, 349650
1, 262370, 231900
1, 264490, 2291030
1, 264880, 232540
1, 263080, 231400
1, 266040, 236280
1, 263680, 232990
1, 263920, 232810
1, 273280, 241160
1, 266090, 236790
1, 267590, 1453440
1, 270720, 233470
1, 411760, 243960
1, 272080, 233430
1, 2230500, 245090
1, 264510, 232720
1, 267270, 1507830
1, 266420, 235760
1, 267510, 233680
1, 268800, 234440
1, 269590, 239650
1, 265000, 237460
1, 261720, 234880
1, 265890, 237350
1, 262820, 232950
1, 259910, 233690
1, 266710, 237260
1, 264430, 233340
1, 264840, 672030
1, 295080, 235960
1, 380650, 335700
1, 266880, 228910
1, 270920, 235170
1, 267110, 229670
1, 264490, 232730
1, 267920, 236550
1, 269530, 371740
1, 264560, 236350
1, 264610, 2194540
1, 265230, 238140
1, 413640, 1373110
1, 267410, 237060
1, 270600, 238000
1, 281670, 244220
1, 264600, 234300
1, 269830, 236950
1, 263950, 233390
1, 262800, 234490
1, 270750, 236640
1, 266520, 236640
1, 265720, 1412700
1, 476560, 241780
1, 267720, 234000
1, 405660, 1959300
1, 270330, 233660
1, 270130, 239280
1, 264870, 236640
1, 1399090, 347310
1, 264320, 233200
1, 266230, 235290
1, 283180, 1211870
1, 269030, 236110
1, 267890, 236190
1, 267140, 234910
1, 269730, 236120
1, 264650, 237730
1, 263150, 1410390
1, 267370, 237750
1, 265220, 233900
1, 268810, 1382790
1, 268320, 236190
1, 262660, 233070
1, 259500, 237540
1, 267420, 235360
1, 261310, 235050
1, 1509580, 344900
1, 259630, 235630
1, 260590, 234740
1, 566810, 1782590
1, 481820, 240290
1, 262870, 231180
1, 1440280, 245410
1, 265640, 234060
1, 264270, 233370
2, 354280, 490020
2, 331500, 484410
2, 328990, 480490
2, 327670, 487270
2, 313150, 450920
2, 282530, 2285350
2, 411660, 449250
2, 291590, 448860
2, 298050, 448600
2, 290580, 447690
2, 297560, 452910
2, 291320, 446450
2, 289190, 446490
2, 2181410, 461400
2, 287800, 448780
2, 1482680, 572240
2, 283370, 448270
2, 285640, 2505520
2, 292730, 451840
2, 291020, 447330
2, 2186850, 458390
2, 292610, 451310
2, 1250950, 586420
2, 293230, 447340
2, 599410, 2361700
2, 290630, 450910
2, 1357480, 454460
2, 290880, 2243130
2, 295320, 453700
2, 289020, 448620
2, 1194700, 455020
2, 290140, 449300
2, 286680, 450390
2, 289770, 448750
2, 286800, 447140
2, 292500, 459580
2, 288240, 450190
2, 290540, 448790
2, 295580, 453110
2, 288670, 449420
2, 1191550, 895570
2, 289710, 442930
2, 291830, 444580
2, 296880, 452100
2, 291140, 446980
2, 289490, 444570
2, 295880, 449230
2, 290380, 448740
2, 493520, 1367450
2, 293950, 582370
2, 292680, 448440
2, 287200, 444620
2, 1291640, 582330
2, 287440, 441590
2, 290820, 443870
2, 288210, 2333460
2, 296970, 449740
2, 292020, 1561260
2, 292260, 573900
2, 288100, 445400
2, 23983800, 470500
2, 1344960, 458680
2, 288290, 574480
2, 289850, 445710
2, 314100, 448940
2, 290570, 444280
2, 1573960, 454380
2, 289950, 441830
2, 2290710, 467210
2, 295420, 1463350
2, 291750, 445650
2, 289390, 446180
2, 289090, 444910
2, 294560, 446260
2, 289370, 443860
2, 291410, 447890
2, 288190, 442320
2, 289630, 27422110
2, 295050, 447860
2, 288750, 444030
2, 290390, 443460
2, 303930, 452340
2, 288360, 445650
2, 1519860, 459130
2, 290620, 447530
2, 293250, 24995410
2, 294820, 451540
2, 290040, 452020
2, 292270, 445770
2, 293050, 452170
2, 290160, 448250
2, 291450, 449390
2, 289290, 601880
2, 297190, 449420
2, 291710, 449990
2, 285440, 452240
2, 288320, 448940
2, 293160, 455060
2, 286000, 451730
2, 290200, 451390
3, 579130, 1073270
3, 469290, 1083680
3, 457760, 2104650
3, 452900, 1077210
3, 2428950, 989350
3, 356680, 975020
3, 359580, 977450
3, 357450, 3085310
3, 352260, 983850
3, 363350, 2963780
3, 363970, 1020380
3, 361950, 2031300
3, 365280, 975290
3, 2261680, 991130
3, 359780, 2600720
3, 360290, 973710
3, 359010, 27345260
3, 356180, 976380
3, 359810, 2110610
3, 358820, 974460
3, 1958450, 990280
3, 358410, 2257900
3, 364410, 984120
3, 371900, 980380
3, 362720, 1981720
3, 361320, 1120990
3, 360450, 2817250
3, 355480, 976210
3, 364230, 1112160
3, 360430, 978510
3, 364300, 980930
3, 361360, 2277940
3, 364840, 3065720
3, 359160, 2160560
3, 364450, 979060
