4327740, 1195160, 2395880, 1261590, 1349870, 1226520
1215780, 1106780, 1157330, 1163900, 1178600, 2281240
2449600, 1004700, 1187900, 1278470, 1162170, 1180990
1207540, 951170, 1155280, 1156650, 1183100, 1168690
1195780, 2744700, 1194400, 3042490, 1303140, 1165500
1215610, 961610, 1165220, 1159070, 1183810, 1299980
2941720, 975070, 1178550, 1150920, 1173120, 1158850
2943990, 1036720, 1172470, 3168530, 2318960, 1161470
1197190, 2095700, 2365000, 2175470, 2248650, 1507860
1206980, 1082650, 1156050, 1158850, 1172080, 1170180
1436260, 981280, 1161440, 1179630, 1362410, 1280550
2213390, 1011310, 2147850, 2381790, 1170840, 1198830
1185620, 954980, 1144050, 1187180, 1307770, 1177410
1217770, 1199340, 3739500, 28320150, 2663400, 1164070
1223000, 1105080, 1186130, 2778800, 2702280, 2848880
1209600, 1100400, 1177080, 3517330, 3316980, 1185800
1198770, 3774070, 1175660, 1187150, 1190180, 3218820
1224800, 1110800, 3413640, 1170310, 1177330, 1266400
3417650, 1170400, 3554820, 3298410, 3122830, 1178270
1195060, 2076080, 1279570, 1137720, 1175960, 3055250
1183410, 3115340, 1144220, 1136340, 1149470, 1154790
1197830, 1036290, 1138460, 1152950, 1178560, 2228040
1187960, 1028050, 2364520, 1185390, 2976020, 1137850
1200250, 2725690, 1141990, 2254800, 1265160, 1173780
3127690, 1046630, 1304690, 2947370, 1128990, 1141790
1187160, 960440, 1156780, 2355370, 1128860, 1167360
1211800, 2155130, 1146210, 3051520, 2996570, 1137600
3128130, 1050960, 1160260, 1161790, 3101140, 1137980
1206810, 2734260, 1266680, 2257740, 2325880, 2180460
1178690, 1028890, 1327280, 1151940, 2263250, 1146280
1207520, 2214430, 1174970, 2985260, 1129080, 1168610
2257520, 1006090, 2330850, 2442400, 1165470, 1144700
3365650, 1052100, 1154660, 1153520, 3093450, 1134870
1220140, 2594260, 2802440, 2825510, 2934810, 1139450
1191100, 947110, 1190770, 3093070, 1141200, 1124560
1204560, 2746930, 1148860, 1116410, 1158820, 2962360
1170280, 1063420, 3043850, 1147990, 1131130, 2241130
3930920, 1119870, 1160940, 1404120, 1145690, 1152110
2238870, 994790, 2359940, 1167100, 3019910, 1149120
1170850, 962840, 1265980, 1143570, 2289790, 1470650
1187920, 2184990, 1153140, 1150570, 2933460, 1134120
2336770, 999620, 1136610, 2273690, 1149940, 3204810
1219790, 2106560, 2256170, 1220170, 1154920, 2973790
1180780, 3129220, 1135520, 1175140, 1130240, 2323540
2401350, 1127300, 2209320, 1150620, 3265060, 1164490
1189470, 2089150, 1139630, 1141470, 1281830, 2657680
3254970, 1044910, 2993630, 1130420, 1144590, 2393350
1185940, 963180, 1135150, 2392050, 1152220, 1149590
2451590, 1004590, 1140410, 1157300, 2252440, 1286350
2259690, 1005700, 2217270, 1281530, 1155290, 1271940
1197500, 2096830, 1142930, 2993480, 1139930, 1128880
1302250, 959910, 3142930, 1137060, 1139490, 1156680
1175300, 2946000, 1139880, 1146080, 1934680, 1151400
1202350, 2124210, 2352000, 1165200, 1148330, 3163550
1202250, 1068310, 1134900, 1145800, 1156260, 2204670
2463800, 1018220, 1286360, 1148110, 2195350, 1279950
1214670, 1228270, 1138840, 2307180, 1133950, 2913710
5712440, 2229570, 2358670, 2160150, 1143160, 1243570
23403460, 1098200, 1128780, 1144430, 1143980, 1181540
2853560, 1036870, 1145630, 1170920, 1133650, 1126920
1191620, 2988120, 1172760, 1124300, 1139090, 1265020
1201900, 1019890, 1133390, 2306170, 2194210, 1154440
1312200, 1031200, 3023820, 1149970, 1132930, 1138600
1194890, 3106810, 1162630, 1145980, 1154750, 1260330
2365980, 1113190, 1126300, 1151560, 1453870, 1177400
1204940, 2017160, 1150730, 3074490, 1130020, 1171240
1191460, 955010, 1126670, 3069920, 1155260, 1149190
1190930, 961990, 1154820, 1136490, 2334980, 1162610
1191500, 987610, 1153350, 1150240, 1157600, 2290480
1191970, 1030590, 1145150, 2280260, 1153900, 1145470
1208090, 2027950, 1148940, 1287460, 1165460, 2721900
2813230, 1022790, 1152840, 1173450, 2994340, 1126150
1197270, 1061870, 1125530, 1133360, 1255100, 2155480
1196990, 1017670, 3160470, 1143530, 1173690, 2817470
2876030, 1049040, 1188460, 1130770, 1277020, 1150190
1189330, 1065410, 1133790, 1125720, 1145320, 1136210
1190410, 964430, 1153920, 1171950, 3063930, 1125520
1217170, 2032930, 1136740, 1257150, 3099270, 1184080
3185690, 1041330, 1161540, 1283640, 1144910, 3126940
1182550, 1076370, 1182170, 1131930, 1133720, 2182460
1201530, 2061170, 2282260, 1154080, 1172780, 1155530
3185930, 1066000, 2197000, 1152250, 1263140, 3094260
1203870, 1077370, 1136930, 1145010, 2199600, 1274170
1202570, 2180640, 1135720, 1189170, 2929600, 1134880
1208630, 958080, 1162590, 3130100, 1127680, 1164420
1327170, 961340, 1131140, 1148860, 2192200, 2322240
1193190, 1019030, 1156610, 1356330, 1148670, 27404770
1194190, 2887790, 1127190, 1144860, 1147200, 1132620
2382370, 960420, 1141750, 1159780, 3269100, 1140780
1207470, 2128450, 1146950, 3128260, 3084350, 1156150
1201480, 3439110, 3084870, 3223410, 1135320, 1247140
1178200, 1073490, 1155270, 1140670, 2394160, 1174790
1193020, 960900, 1151860, 3204620, 1158240, 2677050
3330940, 1055130, 1187170, 1158550, 1149150, 1157260
1319250, 2777800, 1136290, 1146330, 1164100, 2235870
1317080, 1018660, 2370560, 1157800, 1161900, 2418420
2272620, 1026340, 1144250, 1145090, 3152220, 1168360
2276710, 961350, 1131670, 1155380, 2301310, 1137100
1206580, 2037590, 1164100, 1292200, 1146500, 1137590
1206760, 2859490, 1144130, 1143880, 2255050, 1158220
3105250, 1042100, 1174180, 1156360, 1133920, 1140600
3105280, 1037240, 1175800, 3222050, 27792710, 1658790
1197030, 1112340, 1135140, 2205330, 1376410, 2967130
28487690, 1090880, 1146050, 1123550, 1141890, 1263550
2284960, 963650, 2149460, 1146560, 2325100, 1152910
1190710, 2206030, 2689890, 2205310, 1284260, 1171280
3065730, 1041560, 3041820, 1135560, 1178770, 3043690
1182340, 1087930, 33169410, 2187770, 1139050, 3059500
1209840, 964200, 1149910, 3103840, 1144450, 2964580
1183570, 1108870, 3160080, 1243150, 3027270, 1138060
1198280, 27108200, 1175380, 3014190, 1302750, 1287020
1212330, 2169300, 1137100, 1149990, 1169770, 2775270
3198710, 1186910, 2883020, 1133870, 2201790, 1135660
1193240, 1121270, 2246100, 1255640, 2220490, 1172880
1328530, 2159640, 2450920, 2203590, 1151230, 1147570
2259520, 1010150, 1158840, 1142080, 2862570, 2928780
1190740, 1197440, 3110900, 1190720, 3070740, 1177910
3111010, 1049930, 1176420, 1124030, 1140470, 1159560
2338010, 1018700, 2419370, 1143720, 1167810, 1132350
1205040, 1010130, 1279040, 3114300, 1128650, 1143440
3109850, 1055500, 2998000, 1153260, 1260480, 1279000
1182870, 2900010, 1137060, 1255960, 1134230, 2302760
2474450, 1013740, 1169880, 2254670, 1152970, 1166110
2861440, 967090, 1274250, 1286220, 2220000, 2305240
1189010, 1013950, 1166010, 1248510, 2302180, 1171350
1324620, 967070, 2657580, 3037700, 1165010, 1132650
1293510, 974610, 1194070, 3096290, 1146300, 1151560
1335410, 1070710, 1128590, 1144400, 1158030, 1135060
2262290, 964430, 1131630, 1169190, 2183280, 1166190
1225110, 1932120, 1264340, 3043900, 1263850, 1172370
1190980, 2847990, 1254170, 1161840, 3042300, 1247820
1184710, 2987880, 1161500, 2190210, 1144240, 1187820
2918680, 969400, 1150470, 3256700, 1160220, 1138120
2306600, 1016660, 1163350, 1131410, 2278700, 1142990
1211550, 1016370, 1142630, 1149870, 25212010, 3111520
1184940, 1067480, 3133080, 1253740, 1177120, 2700260
1188700, 963940, 3027400, 1132900, 2354210, 1160810
1190500, 960840, 1152860, 3065970, 3051130, 1153010
1185410, 3004590, 1162570, 3422960, 1145140, 1248820
1200320, 1072640, 1253910, 1122710, 3148320, 1132460
1177220, 954330, 1129570, 1165310, 1229940, 2286580
1208430, 1023620, 1154350, 2973340, 1127760, 2953840
1196310, 1074260, 3095220, 1173690, 3067500, 1144460
1327350, 3001510, 1282400, 1135070, 2358210, 1174170
1202550, 959480, 1143950, 1137840, 1173950, 3046970
3140420, 1051020, 2231960, 1388710, 3063920, 1143900
2917060, 1046910, 3031850, 1145540, 2910020, 1141080
1176810, 955400, 1134450, 1176060, 1158120, 2732720
1206420, 1072750, 1128600, 1138820, 2391910, 1163240
3075580, 1027530, 3180810, 2895450, 1278030, 1136760
1184110, 952470, 1225510, 2202310, 1129910, 26941500
1299640, 1017820, 1158280, 1140920, 1171470, 2384010
1184060, 1027300, 2413370, 2194080, 1135880, 1149030
